ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_loc;crash_mont;crash_time;crash_year;crsh_sevri;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_defects;rd_surface;rural_urba;speed_limi;weather;workzone_i
Yes;40-49;41;With Traffic;K: Killed;Travel Lane;Black;Male;None - Rural Crash;Orange;Yes;Thursday;Non-Intersection;September;23:35;2013;K: Killed;Unknown;Unknown;No;61-65 mph;Unknown Injury;Unknown/Missing;Unknown;Yes;Yes;Dark - Roadway Not Lighted;Rural (<30% Developed);4 lanes;3.0;Straight - Level;US Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;50-59;57;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Carrboro;Orange;No;Wednesday;Non-Intersection;November;8:19;2013;C: Possible Injury;60-69;66;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Urban;Unknown;Clear;No
Yes;50-59;54;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Non-Intersection;September;7:46;2009;B: Evident Injury;60-69;67;No;0-5 mph;O: No Injury;Black;Male;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Cloudy;No
Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Non-Intersection;February;16:23;2012;B: Evident Injury;20-24;22;No;6-10 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;40-49;45;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Thursday;Non-Intersection;June;17:27;2009;C: Possible Injury;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;30-39;38;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Intersection;October;16:58;2010;B: Evident Injury;60-69;68;No;16-20 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;40-49;49;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Thursday;Intersection;April;17:25;2008;B: Evident Injury;40-49;40;No;Unknown;O: No Injury;White;Female;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Bottom;State Secondary Route;None;Smooth Asphalt;Rural;Unknown;Clear;No
No;16-19;18;Not Applicable;O: No Injury;Non-Roadway;White;Male;None - Rural Crash;Chatham;No;Thursday;Non-Roadway;July;17:35;2008;O: No Injury;30-39;36;No;11-15 mph;O: No Injury;White;Female;No;No;Daylight;Rural (<30% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Rural;5 - 15 MPH;Clear;No
Yes;50-59;53;With Traffic;B: Evident Injury;Travel Lane;Other;Male;None - Rural Crash;Orange;No;Tuesday;Non-Intersection;July;19:37;2013;B: Evident Injury;40-49;46;No;41-45 mph;O: No Injury;Black;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;50-59;56;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Wednesday;Non-Intersection;May;9:32;2008;B: Evident Injury;Unknown;Unknown;Missing;26-30 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Rain;No
Yes;50-59;51;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Friday;Intersection;May;15:32;2009;C: Possible Injury;60-69;61;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;50-59;53;With Traffic;C: Possible Injury;Unknown;White;Male;Chapel Hill;Orange;No;Wednesday;Non-Intersection;September;8:04;2007;C: Possible Injury;30-39;34;No;6-10 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;20-24;23;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Friday;Intersection;May;10:07;2011;C: Possible Injury;25-29;28;No;Unknown;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;Private Road - Driveway;None;Smooth Asphalt;Urban;5 - 15 MPH;Clear;No
No;60-69;64;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Wednesday;Intersection;March;10:28;2013;C: Possible Injury;60-69;60;No;6-10 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Cloudy;No
Yes;60-69;63;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Intersection;November;9:32;2010;C: Possible Injury;50-59;58;No;Unknown;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;25-29;27;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Tuesday;Non-Intersection;May;20:34;2008;B: Evident Injury;20-24;21;No;11-15 mph;O: No Injury;White;Female;No;No;Dusk;Urban (>70% Developed);2 lanes;2.0;Straight - Hillcrest;Public Vehicular Area;None;Smooth Asphalt;Urban;5 - 15 MPH;Clear;No
