ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
No;20-24;21;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Intersection;April;17:28;Motorist Left Turn - Opposite Direction;2008;C: Possible Injury;Institutional;20-24;24;No;Unknown;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;Unknown;Missing;Clear;No
Yes;20-24;20;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Asian;Female;Chapel Hill;Orange;No;Thursday;Parallel Paths - Other Circumstances;Non-Intersection;October;15:34;Bicyclist Ride Out - Parallel Path;2010;B: Evident Injury;Institutional;25-29;27;No;11-15 mph;Unknown Injury;Black;Male;Other Bus;No;No;Daylight;Mixed (30% To 70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
No;50-59;51;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;April;20:38;Motorist Overtaking - Undetected Bicyclist;2008;B: Evident Injury;Farms, Woods, Pastures;40-49;49;No;41-45 mph;O: No Injury;Black;Male;Sport Utility;No;No;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
No;40-49;42;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;Asian;Female;Carrboro;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;December;7:52;Motorist Overtaking - Bicyclist Swerved;2007;C: Possible Injury;Residential;50-59;58;No;36-40 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);4 lanes;2.0;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
Yes;30-39;32;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Intersection-Related;September;19:03;Motorist Overtaking - Undetected Bicyclist;2010;C: Possible Injury;Residential;60-69;61;No;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
No;16-19;19;With Traffic;B: Evident Injury;Travel Lane;Asian;Male;Chapel Hill;Orange;No;Wednesday;Bicyclist Left Turn / Merge;Non-Intersection;April;15:27;Bicyclist Left Turn - Same Direction;2012;B: Evident Injury;Institutional;25-29;26;No;11-15 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;11-15;12;Unknown;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;May;16:04;Bicyclist Ride Through - Sign-Controlled Intersection;2007;B: Evident Injury;Residential;20-24;22;No;21-25 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Cloudy;No
Yes;40-49;44;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;Yes;Thursday;Motorist Overtaking Bicyclist;Intersection-Related;April;0:49;Motorist Overtaking - Other / Unknown;2011;C: Possible Injury;Residential;Unknown;Unknown;No;26-30 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);9 or more lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;20-24;22;With Traffic;A: Disabling Injury;Travel Lane;White;Male;Durham;Durham;Yes;Saturday;Motorist Left Turn / Merge;Intersection;August;23:51;Motorist Left Turn - Opposite Direction;2009;A: Disabling Injury;Residential;25-29;26;No;31-35 mph;O: No Injury;Black;Female;Passenger Car;No;Yes;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
Yes;6-10;9;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Right Turn / Merge;Intersection;September;7:35;Motorist Right Turn - Same Direction;2009;C: Possible Injury;Residential;40-49;43;No;0-5 mph;O: No Injury;Asian;Female;Light Truck (Mini-Van, Panel);No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Y-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
